front;back
Tsukizue;"1) From a correct Hasso-no-kamae are you entering Shi's Maai and cutting down to a line parallel to the floor?
2) Are you adopting the correct Hidari-jodan-no-kamae?"
Suigetsu;"1) Are you correctly cutting Shi's Shomen?
2) After taking sufficient Maai from Hasso-no-kamae are you correctly adopting the Chudan no Kamae?"
Hissage;"1) Is the Tachi's Kissaki equally aligned with the Jo in Awase?
2) From Hidari-jodan-no-kamae are you correctly cutting the Shomen?
3) Have you had Kuritsuke correctly performed on you?"
Shamen;"1) Are you correctly cutting Shomen to a line parallel to the floor?
2) After taking sufficient Maai are you correctly adopting Hidari-jodan-no-kamae?"
Sakan;"1) Are you correctly thrusting Shi's Suigetsu?
2) After the Tachi is struck and you move backwards, are you doing so with your right, then left and right foot?
3) Is your Chudan and Hasso-no-kamae correct?"
Monomi;"1) Are you cutting Shi's Shomen to a line parallel with the floor?
2) Have you correctly adopted Hidari-jodan-no-kamae?"
Kasumi;"1) Stepping forwards with your left then right from a Nisoku-ittou-no-maai are you correctly cutting Shomen?
2) After having Taiatari performed on you are you correctly moving backwards?"
Tachiotoshi;"1) Are you parrying the Jo after correctly moving your body horizontally to the left?
2) Are you cutting Shi's neck after rotating the Tachi above your head in a large movement?
3) Are you moving backwards correctly after having had Kuritsuke performed on you?"
Raiuchi;"1) Are you correctly cutting Shi's upper arm?
2) After taking a large step backwards with your left foot, are you cutting Shi from their shoulder to their neck?"
Seigan;"1) In the correct Maai relative to Shi how is your posture when you grip the Tsuka with your right hand?
2) Are you correctly carrying out Katategiri (one handed cut)?"
Midaredome;"1) Are you correctly cutting Shi's Do (upper body)?
2) After moving your right foot slightly closer to your left foot, do you retaliate by cutting Shi's Shomen?"
Ranai;"1) How is your posture after you have drawn the Tachi diagonally upwards and to the right?
2) Are you correctly cutting Shi's Do (upper side body)?
3) After moving your left foot backwards are you correctly parrying the Jo in front of your forehead?
4) Are you correctly attacking Shi's chest and cutting it?
5) After Shi has performed Kurihanashi on you, move backwards using your right, left and right foot, how is your posture and Metsuke?
6) Are you cutting Shi's right wrist with Katategiri; and are you stepping forwards and correctly thrusting?
7) Are you correctly cutting Shi's Do (upper side body)?"
Appendix for Uchi (Tachi);"1) Be sure to keep your arms and wrists flexible.
2) How to correctly cut with an effective Hasuji."
